-75.879015,44.165678,"TURNOUT SB I-81","NO FACILITIES"
-75.912561,44.014002,"TURNOUT NB I-81","NO FACILITIES"
-75.915804,44.079712,"REST AREA NB I-81 MM 49B","RR, PT, VM, Pets, HF"
-75.916337,44.018437,"TURNOUT SB I-81","NO FACILITIES"
-75.961102,41.100261,"REST AREA NB I-81 MM156","RR, PT, VM, Pets, HF"
-75.963128,41.132657,"REST AREA SB I-81 MM157","RR, PT, VM, Pets, HF"
-75.966262,37.133643,"REST AREA NB US-13","RR, PT, Pets, HF"
-75.966385,37.134789,"REST AREA-LEFT EXIT SB US-13","RR, PT, Pets, HF"
-75.966525,43.932061,"TURNOUT NB I-81","NO FACILITIES"
-75.978296,39.078145,"WELCOME CENTER-LEFT EXIT-DAYTIME HOURS NB US-301","RR, PT, Pets, HF"
-75.978636,39.080132,"WELCOME CENTER-LEFT EXIT-DAYTIME HOURS SB US-301","RR, PT, Pets, HF"
-75.981453,43.904591,"REST AREA SB I-81 MM 43","RR, PT, VM, Pets, HF"
-75.994642,42.377374,"REST AREA SB I-81 MM 9","RR, PT, HF"
-76.003051,39.615034,"SERVICE PLAZA SB I-95 MM 96","RR, PT, VM, Pets, HF, Gas, Food"
-76.017088,40.204232,"SERVICE PLAZA EB I-76 MM290","RR, PT, VM, Pets, HF, Gas, Food"
-76.018191,39.608177,"SERVICE PLAZA NB I-95 MM 96","RR, PT, VM, Pets, HF, Gas, Food"
-76.076383,43.721723,"TURNOUT NB I-81 MM39.5","NO FACILITIES"
-76.077208,43.725501,"TURNOUT SB I-81 MM39.5","NO FACILITIES"
-76.104012,43.091735,"SERVICE PLAZA EB I-90/NY T'way MM280","RR, PT, VM, Pets, HF, Gas, Food"
-76.147685,42.711428,"REST AREA NB I-81 MM 14","RR, PT, VM, Pets, HF"
-76.223991,39.502541,"SERVICE PLAZA-LEFT EXIT SB I-95 MM 81","RR, PT, VM, Pets, HF, Gas, Food"
-76.237368,39.492829,"SERVICE PLAZA-LEFT EXIT NB I-95 MM 81","RR, PT, VM, Pets, HF, Gas, Food"
-76.242234,41.009063,"REST AREA WB I-80 MM246","RR, PT, VM, Pets, HF"
-76.253151,35.916171,"REST AREA EB/WB US-64","RR, PT, Pets, HF"
-76.256362,41.008312,"REST AREA EB I-80 MM246","RR, PT, VM, Pets, HF"
-76.275709,42.088251,"REST AREA WB I-86/US 17 MM199","RR, PT, VM, Pets, HF"
-76.316364,43.092784,"SERVICE PLAZA WB I-90/NY T'way MM292","RR, PT, VM, Pets, HF, Gas, Food"
-76.353969,36.507604,"REST AREA-LEFT EXIT NB US-17","RR, PT, VM, Pets, HF"
-76.355057,36.508413,"REST AREA SB US-17","RR, PT, VM, Pets, HF"
-76.422665,42.023485,"REST AREA EB I-86/US17 MM212","RR, PT, VM, Pets, HF"
-76.571346,40.207786,"SERVICE PLAZA WB I-76 MM259","RR, PT, VM, RV Dump, Pets, HF, Gas, Food"
-76.661942,39.750075,"WELCOME CENTER NB I-83 MM2","RR, PT, VM, Pets, HF"
-76.672865,40.376543,"REST AREA SB I-81 MM79","RR, PT, VM, Pets, HF"
